match_date,venue,city,team_1,team_2,toss_winner,toss_decision,match_winner
2016-11-03,Western Australia Cricket Association Ground,Perth,Australia,South Africa,South Africa,bat,South Africa
2016-11-12,Bellerive Oval,Hobart,Australia,South Africa,South Africa,field,South Africa
2016-11-24,Adelaide Oval,,Australia,South Africa,South Africa,bat,Australia
2016-12-15,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,Pakistan,Australia,bat,Australia
2016-12-26,Melbourne Cricket Ground,,Australia,Pakistan,Pakistan,bat,Australia
2017-01-03,Sydney Cricket Ground,,Australia,Pakistan,Australia,bat,Australia
2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,Pakistan,Australia,bat,Australia
2017-01-15,Melbourne Cricket Ground,,Australia,Pakistan,Australia,bat,Pakistan
2017-01-19,Western Australia Cricket Association Ground,Perth,Australia,Pakistan,Australia,field,Australia
2017-01-22,Sydney Cricket Ground,,Australia,Pakistan,Australia,bat,Australia
2017-01-26,Adelaide Oval,,Australia,Pakistan,Australia,bat,Australia
2017-02-17,Melbourne Cricket Ground,,Australia,Sri Lanka,Sri Lanka,field,Sri Lanka
2017-02-19,"Simonds Stadium, South Geelong",Victoria,Australia,Sri Lanka,Sri Lanka,field,Sri Lanka
2017-02-22,Adelaide Oval,,Australia,Sri Lanka,Sri Lanka,field,Australia
2016-12-04,Sydney Cricket Ground,,Australia,New Zealand,Australia,bat,Australia
2016-12-06,Manuka Oval,Canberra,Australia,New Zealand,New Zealand,field,Australia
2016-12-09,Melbourne Cricket Ground,,Australia,New Zealand,Australia,bat,Australia
2016-05-02,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Northern Knights,Leinster Lightning,Northern Knights,bat,Leinster Lightning
2016-05-30,New Strabane Park,Strabane,Leinster Lightning,North-West Warriors,Leinster Lightning,bat,Leinster Lightning
2016-06-12,"The Vineyard, Dublin",Dublin,North-West Warriors,Leinster Lightning,Leinster Lightning,field,
2016-07-31,"Observatory Lane, Rathmines, Dublin",Dublin,Northern Knights,Leinster Lightning,Northern Knights,bat,Leinster Lightning
2016-08-07,"The Lawn, Waringstown",Waringstown,North-West Warriors,Northern Knights,North-West Warriors,bat,Northern Knights
2016-05-27,"The Green, Comber",Comber,North-West Warriors,Northern Knights,North-West Warriors,bat,North-West Warriors
2016-11-12,"New Wanderers Stadium, Johannesburg",Johannesburg,Knights,Cape Cobras,Cape Cobras,field,Knights
2016-11-12,"New Wanderers Stadium, Johannesburg",Johannesburg,Titans,Lions,Lions,field,Titans
2016-11-13,"Kingsmead, Durban",Durban,Dolphins,Warriors,Warriors,field,Warriors
2016-11-16,"Boland Park, Paarl",Paarl,Cape Cobras,Titans,Cape Cobras,bat,Titans
2016-11-18,"Willowmoore Park, Benoni",Benoni,Knights,Titans,Knights,bat,Titans
2016-11-20,"Mangaung Oval, Bloemfontein",Bloemfontein,Titans,Dolphins,Dolphins,field,Titans
2016-11-20,"Mangaung Oval, Bloemfontein",Bloemfontein,Warriors,Knights,Warriors,bat,Warriors
2016-11-20,"Senwes Park, Potchefstroom",Potchefstroom,Lions,Cape Cobras,Lions,bat,Lions
2016-11-25,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,Warriors,Lions,bat,Warriors
2016-11-25,"Mangaung Oval, Bloemfontein",Bloemfontein,Knights,Dolphins,Knights,bat,Dolphins
2016-11-25,"SuperSport Park, Centurion",Centurion,Cape Cobras,Titans,Titans,field,
2016-11-27,"Diamond Oval, Kimberley",Kimberley,Titans,Knights,Knights,field,Titans
2016-11-27,"New Wanderers Stadium, Johannesburg",Johannesburg,Lions,Dolphins,Lions,bat,Lions
2016-11-30,"St George's Park, Port Elizabeth",Port Elizabeth,Knights,Warriors,Knights,bat,Warriors
2016-11-30,"Kingsmead, Durban",Durban,Titans,Dolphins,Titans,bat,Dolphins
2016-12-02,"Diamond Oval, Kimberley",Kimberley,Lions,Knights,Lions,bat,Lions
2016-12-02,"SuperSport Park, Centurion",Centurion,Titans,Warriors,Warriors,field,Warriors
2016-12-04,"Kingsmead, Durban",Durban,Lions,Warriors,Lions,bat,Lions
2016-12-04,"Kingsmead, Durban",Durban,Dolphins,Cape Cobras,Dolphins,bat,Cape Cobras
2016-12-07,"Newlands, Cape Town",Cape Town,Knights,Cape Cobras,Knights,bat,Cape Cobras
2016-12-07,"Buffalo Park, East London",East London,Dolphins,Warriors,Dolphins,bat,Warriors
2016-12-07,"SuperSport Park, Centurion",Centurion,Titans,Lions,Lions,field,Titans
2016-12-09,"Senwes Park, Potchefstroom",Potchefstroom,Lions,Knights,Knights,field,Knights
2016-12-11,"Buffalo Park, East London",East London,Titans,Warriors,Warriors,field,Titans
2016-12-11,"Kingsmead, Durban",Durban,Dolphins,Knights,Knights,field,Knights
2016-12-13,"St George's Park, Port Elizabeth",Port Elizabeth,Lions,Warriors,Lions,bat,Warriors
2016-12-16,"SuperSport Park, Centurion",Centurion,Titans,Warriors,Warriors,field,Titans
2016-10-16,Amini Park,Port Moresby,Papua New Guinea,Namibia,Papua New Guinea,bat,Papua New Guinea
2016-10-21,Amini Park,Port Moresby,Papua New Guinea,Namibia,Namibia,bat,Papua New Guinea
2016-10-23,Amini Park,Port Moresby,Papua New Guinea,Namibia,Namibia,bat,Papua New Guinea
2016-08-13,VRA Ground,Amstelveen,Netherlands,Nepal,Netherlands,field,Netherlands
2016-11-20,Gymkhana Club Ground,Nairobi,Kenya,Hong Kong,Kenya,field,Hong Kong
2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,Hong Kong,Hong Kong,field,
2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,Hong Kong,Scotland,bat,Scotland
2016-09-05,"Bready Cricket Club, Magheramason",Londonderry,Ireland,Hong Kong,Hong Kong,bat,Hong Kong
2016-06-11,Harare Sports Club,,Zimbabwe,India,India,field,India
2016-06-13,Harare Sports Club,,Zimbabwe,India,India,field,India
2016-06-15,Harare Sports Club,,Zimbabwe,India,Zimbabwe,bat,India
2016-06-18,Harare Sports Club,,Zimbabwe,India,India,field,Zimbabwe
2016-06-20,Harare Sports Club,,Zimbabwe,India,Zimbabwe,bat,India
2016-06-22,Harare Sports Club,,Zimbabwe,India,Zimbabwe,field,India
2016-07-21,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,St Lucia Zouks,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,field,St Lucia Zouks
2016-07-24,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Guyana Amazon Warriors,St Lucia Zouks,St Lucia Zouks,field,St Lucia Zouks
2016-07-26,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,St Lucia Zouks,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2016-05-28,Amini Park,Port Moresby,Papua New Guinea,Kenya,Kenya,bat,Papua New Guinea
2016-05-30,Amini Park,Port Moresby,Papua New Guinea,Kenya,Papua New Guinea,bat,Papua New Guinea
2016-07-10,Providence Stadium,Guyana,Trinbago Knight Riders,Guyana Amazon Warriors,Guyana Amazon Warriors,field,Trinbago Knight Riders
2016-07-11,"Kensington Oval, Bridgetown",Barbados,Jamaica Tallawahs,Barbados Tridents,Barbados Tridents,field,
2016-07-13,"Kensington Oval, Bridgetown",Barbados,Barbados Tridents,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,field,Barbados Tridents
2016-07-16,"Kensington Oval, Bridgetown",Barbados,Barbados Tridents,Trinbago Knight Riders,Trinbago Knight Riders,field,Trinbago Knight Riders
2016-07-17,"Kensington Oval, Bridgetown",Barbados,Barbados Tridents,St Lucia Zouks,St Lucia Zouks,field,Barbados Tridents
2016-07-15,"Sabina Park, Kingston",Jamaica,Guyana Amazon Warriors,Jamaica Tallawahs,Jamaica Tallawahs,field,Jamaica Tallawahs
2016-07-16,"Sabina Park, Kingston",Jamaica,Jamaica Tallawahs,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,field,Jamaica Tallawahs
2016-07-18,"Sabina Park, Kingston",Jamaica,Jamaica Tallawahs,Trinbago Knight Riders,Trinbago Knight Riders,field,Jamaica Tallawahs
2016-07-20,"Sabina Park, Kingston",Jamaica,Jamaica Tallawahs,Barbados Tridents,Barbados Tridents,field,Jamaica Tallawahs
2016-12-26,Hagley Oval,Christchurch,New Zealand,Bangladesh,New Zealand,bat,New Zealand
2016-12-29,Saxton Oval,Nelson,New Zealand,Bangladesh,Bangladesh,field,New Zealand
2016-12-31,Saxton Oval,Nelson,New Zealand,Bangladesh,Bangladesh,bat,New Zealand
2017-01-03,McLean Park,Napier,New Zealand,Bangladesh,Bangladesh,bat,New Zealand
2017-01-06,Bay Oval,Mount Maunganui,New Zealand,Bangladesh,Bangladesh,field,New Zealand
2017-01-08,Bay Oval,Mount Maunganui,New Zealand,Bangladesh,Bangladesh,field,New Zealand
2017-01-12,Basin Reserve,Wellington,New Zealand,Bangladesh,New Zealand,field,New Zealand
2017-01-20,Hagley Oval,Christchurch,New Zealand,Bangladesh,New Zealand,field,New Zealand
2016-11-17,Hagley Oval,Christchurch,New Zealand,Pakistan,New Zealand,field,New Zealand
2016-11-25,Seddon Park,Hamilton,New Zealand,Pakistan,Pakistan,field,New Zealand
2017-01-30,Eden Park,Auckland,New Zealand,Australia,Australia,field,New Zealand
2017-02-05,Seddon Park,Hamilton,New Zealand,Australia,New Zealand,bat,New Zealand
2017-02-17,Eden Park,Auckland,New Zealand,South Africa,New Zealand,field,South Africa
2017-02-19,Seddon Park,Hamilton,New Zealand,South Africa,South Africa,field,South Africa
2017-02-22,Hagley Oval,Christchurch,New Zealand,South Africa,South Africa,field,New Zealand
2017-02-25,Westpac Stadium,Wellington,New Zealand,South Africa,South Africa,bat,South Africa
2017-03-01,Seddon Park,Hamilton,New Zealand,South Africa,South Africa,bat,New Zealand
2017-03-04,Eden Park,Auckland,New Zealand,South Africa,South Africa,field,South Africa
2017-03-08,University Oval,Dunedin,New Zealand,South Africa,South Africa,bat,
2017-03-16,Basin Reserve,Wellington,New Zealand,South Africa,South Africa,field,South Africa
2017-03-25,Seddon Park,Hamilton,New Zealand,South Africa,South Africa,bat,
2017-06-01,Kennington Oval,London,England,Bangladesh,England,field,England
2017-06-02,Edgbaston,Birmingham,Australia,New Zealand,New Zealand,bat,
2017-06-03,Kennington Oval,London,South Africa,Sri Lanka,Sri Lanka,field,South Africa
2017-06-04,Edgbaston,Birmingham,India,Pakistan,Pakistan,field,India
2017-06-05,Kennington Oval,London,Australia,Bangladesh,Bangladesh,bat,
2017-06-06,Sophia Gardens,Cardiff,England,New Zealand,New Zealand,field,England
2017-06-07,Edgbaston,Birmingham,Pakistan,South Africa,South Africa,bat,Pakistan
2017-06-08,Kennington Oval,London,India,Sri Lanka,Sri Lanka,field,Sri Lanka
2017-06-09,Sophia Gardens,Cardiff,Bangladesh,New Zealand,New Zealand,bat,Bangladesh
2017-06-10,Edgbaston,Birmingham,England,Australia,England,field,England
2017-06-11,Kennington Oval,London,India,South Africa,India,field,India
2017-06-12,Sophia Gardens,Cardiff,Pakistan,Sri Lanka,Pakistan,field,Pakistan
2017-06-14,Sophia Gardens,Cardiff,England,Pakistan,Pakistan,field,Pakistan
2017-06-15,Edgbaston,Birmingham,Bangladesh,India,India,field,India
